127.0.0.1 - - [13/May/2021:13:06:41 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/May/2021:13:06:48 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [13/May/2021:13:10:11 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3750
0:0:0:0:0:0:0:1 - - [13/May/2021:13:12:12 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3755
0:0:0:0:0:0:0:1 - - [13/May/2021:13:14:05 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3791
0:0:0:0:0:0:0:1 - - [13/May/2021:13:15:49 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3785
0:0:0:0:0:0:0:1 - - [13/May/2021:13:16:24 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3791
0:0:0:0:0:0:0:1 - - [13/May/2021:13:20:40 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3737
0:0:0:0:0:0:0:1 - - [13/May/2021:13:26:10 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3737
0:0:0:0:0:0:0:1 - - [13/May/2021:13:26:20 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3737
0:0:0:0:0:0:0:1 - - [13/May/2021:13:29:32 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3723
0:0:0:0:0:0:0:1 - - [13/May/2021:13:29:32 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/May/2021:13:34:39 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3723
0:0:0:0:0:0:0:1 - - [13/May/2021:13:34:51 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3723
0:0:0:0:0:0:0:1 - - [13/May/2021:13:36:26 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 500 3737
0:0:0:0:0:0:0:1 - - [13/May/2021:13:43:24 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [13/May/2021:13:45:53 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [13/May/2021:13:47:03 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [13/May/2021:13:47:25 +0700] "GET /Web-Lab8/Lab8.jsp HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [13/May/2021:14:03:41 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:01 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:04 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:06 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:12 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:53 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:56 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:57 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:58 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:59 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/May/2021:14:05:59 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [13/May/2021:14:10:50 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 500 2382
0:0:0:0:0:0:0:1 - - [13/May/2021:14:10:51 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 500 2382
0:0:0:0:0:0:0:1 - - [13/May/2021:14:11:15 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 500 2374
